player,age,g,mp,fga,fg%,fg3a,3p%,efg,fta,ft%,trb,ast,stl,blk,tov,pf,vorp,season_x,award_share,pos_C,pos_PF,pos_PG,pos_SF,pos_SG,experience,team_ATL,team_BOS,team_BRK,team_CHA,team_CHH,team_CHI,team_CHO,team_CLE,team_DAL,team_DEN,team_DET,team_GSW,team_HOU,team_IND,team_KCK,team_LAC,team_LAL,team_MEM,team_MIA,team_MIL,team_MIN,team_NJN,team_NOH,team_NOP,team_NYK,team_OKC,team_ORL,team_PHI,team_PHO,team_POR,team_SAC,team_SAS,team_SEA,team_TOR,team_TOT,team_UTA,team_WAS,team_WSB,vorp_rt,vorp_sq,fta_rt,fta_sq,efg_rt,efg_sq,stl_rt,stl_sq,trb_rt,trb_sq,blk_rt,blk_sq,fg%_rt,fg%_sq,ft%_rt,ft%_sq,tov_rt,tov_sq,g_rt,g_sq,ast_rt,ast_sq,3p%_rt,3p%_sq,fg3a_rt,fg3a_sq,pf_rt,pf_sq,mp_rt,mp_sq,fga_rt,fga_sq,age_rt,age_sq,experience_rt,experience_sq
A.C. Green,26,82,33.0,9.8,0.478,0.6,0.28300000000000003,0.486,4.5,0.7509999999999999,8.7,1.1,0.8,0.6,1.4,2.5,1.0,1990,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.6509636244473134,91.125,0.786222418262669,0.114791256,0.9283177667225558,0.5120000000000001,2.0567101162059633,658.5029999999998,0.8434326653017492,0.21599999999999997,0.7818845511285543,0.10921535199999999,0.908963921656376,0.4235647509999998,1.1186889420813968,2.7439999999999993,4.344481485768611,551368,1.0322801154563672,1.3310000000000004,0.6565414427346139,0.022665187000000007,0.8434326653017492,0.21599999999999997,1.3572088082974532,15.625,3.207534329995826,35937.0,2.139974961130159,941.1920000000002,2.9624960684073702,17576,0.0,0
Adrian Dantley,25,80,42.7,20.3,0.5589999999999999,0.1,0.28600000000000003,0.5589999999999999,9.8,0.8059999999999999,6.4,4.0,1.4,0.2,3.5,3.1,5.4,1981,0.022000000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7544106429277195,157.46400000000003,2.139974961130159,941.1920000000002,0.8237661384280925,0.17467687899999995,1.1186889420813968,2.7439999999999993,1.8566355334451115,262.14400000000006,0.5848035476425733,0.008000000000000002,0.8237661384280925,0.17467687899999995,0.9306327832080482,0.5236066159999999,1.5182944859378311,42.875,4.308869380063767,512000,1.5874010519681994,64.0,0.6588532274527865,0.02339365600000001,0.4641588833612779,0.0010000000000000002,1.4580997358267116,29.791000000000004,3.4952316017248948,77854.48300000002,2.727922404147588,8365.427000000001,2.924017738212866,15625,0.0,0
Adrian Dantley,26,81,39.8,19.6,0.57,0.0,0.33299999999999996,0.57,10.1,0.792,6.3,4.0,1.2,0.2,3.7,3.1,5.0,1982,0.01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7099759466766968,125.0,2.161592332945083,1030.301,0.8291344341849697,0.18519299999999994,1.0626585691826111,1.7279999999999998,1.8469147504478334,250.04699999999997,0.5848035476425733,0.008000000000000002,0.8291344341849697,0.18519299999999994,0.9252130018365484,0.49679308800000005,1.5466803737720354,50.653000000000006,4.3267487109222245,531441,1.5874010519681994,64.0,0.693130076842881,0.03692603699999999,0.0,0.0,1.4580997358267116,29.791000000000004,3.414242447187964,63044.79199999999,2.69619949977585,7529.536000000002,2.9624960684073702,17576,1.0,1
Adrian Dantley,28,79,37.8,18.2,0.5579999999999999,0.1,0.25,0.5579999999999999,12.0,0.8590000000000001,5.7,3.9,0.8,0.1,3.3,2.5,4.7,1984,0.11599999999999999,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6750686836022342,103.82300000000001,2.2894284851066637,1728.0,0.8232746310689072,0.17374111199999995,0.9283177667225558,0.5120000000000001,1.7863159877080566,185.193,0.4641588833612779,0.0010000000000000002,0.8232746310689072,0.17374111199999995,0.950599805890289,0.6338397790000002,1.4888055529538273,35.937,4.290840427026207,493039,1.5740609166314434,59.318999999999996,0.6299605249474366,0.015625,0.4641588833612779,0.0010000000000000002,1.3572088082974532,15.625,3.35606682624419,54010.15199999999,2.6304121142856256,6028.567999999999,3.0365889718756622,21952,1.4422495703074083,27
Adrian Dantley,29,55,35.8,17.5,0.531,0.0,0.0,0.531,9.9,0.804,5.9,3.4,1.0,0.1,3.1,2.4,2.9,1985,0.0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4260431471424087,24.389,2.147229169018941,970.2990000000001,0.8097758867857012,0.14972129100000003,1.0,1.0,1.8069688693211896,205.37900000000005,0.4641588833612779,0.0010000000000000002,0.8097758867857012,0.14972129100000003,0.9298623914791201,0.5197184640000001,1.4580997358267116,29.791000000000004,3.802952460761391,166375,1.5036945962049748,39.303999999999995,0.0,0.0,0.0,0.0,1.338865900164339,13.823999999999998,3.2958012102434435,45882.71199999999,2.5962470509255517,5359.375,3.072316825685847,24389,1.5874010519681994,64
Adrian Dantley,30,76,36.1,19.1,0.563,0.1,0.091,0.563,10.5,0.7909999999999999,5.2,3.5,0.8,0.1,3.0,2.7,4.8,1986,0.003,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6868653306034984,110.59199999999998,2.1897595699439445,1157.625,0.8257263269927625,0.17845354699999993,0.9283177667225558,0.5120000000000001,1.7324782106818055,140.608,0.4641588833612779,0.0010000000000000002,0.8257263269927625,0.17845354699999993,0.9248234384213018,0.49491367099999983,1.4422495703074083,27.0,4.235823584254893,438976,1.5182944859378311,42.875,0.4497941445275415,0.000753571,0.4641588833612779,0.0010000000000000002,1.3924766500838337,19.683000000000003,3.3049817624300406,47045.88100000001,2.6730748660601886,6967.871000000002,3.1072325059538586,27000,1.7099759466766968,125
Al Horford,23,81,35.1,10.5,0.551,0.0,1.0,0.552,3.3,0.789,9.9,2.3,0.7,1.1,1.5,2.8,3.1,2010,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4580997358267116,29.791000000000004,1.4888055529538273,35.937,0.8203131859404695,0.16819660800000005,0.8879040017426006,0.3429999999999999,2.147229169018941,970.2990000000001,1.0322801154563672,1.3310000000000004,0.8198175283056287,0.16728415100000005,0.9240433254923236,0.49116906900000007,1.1447142425533319,3.375,4.3267487109222245,531441,1.3200061217959123,12.166999999999998,1.0,1.0,0.0,0.0,1.4094597464129783,21.951999999999995,3.2741786491833174,43243.55100000001,2.1897595699439445,1157.625,2.8438669798515654,12167,0.0,0
Al Horford,24,77,35.1,12.0,0.557,0.1,0.5,0.5579999999999999,2.4,0.7979999999999999,9.3,3.5,0.8,1.0,1.5,2.5,3.9,2011,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5740609166314434,59.318999999999996,1.338865900164339,13.823999999999998,0.8232746310689072,0.17374111199999995,0.9283177667225558,0.5120000000000001,2.1029437174614203,804.3570000000002,1.0,1.0,0.8227825361333302,0.17280869300000004,0.9275435230216412,0.5081695919999999,1.1447142425533319,3.375,4.254320865115005,456533,1.5182944859378311,42.875,0.7937005259840998,0.125,0.4641588833612779,0.0010000000000000002,1.3572088082974532,15.625,3.2741786491833174,43243.55100000001,2.2894284851066637,1728.0,2.8844991406148166,13824,1.0,1
Al Horford,28,76,30.5,12.7,0.5379999999999999,0.5,0.306,0.544,1.9,0.759,7.2,3.2,0.9,1.3,1.3,1.6,3.6,2015,0.0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5326188647871062,46.656000000000006,1.2385623296301709,6.858999999999999,0.8163310203834696,0.16098918400000004,0.9654893846056297,0.7290000000000001,1.9309787692112594,373.24800000000005,1.091392883061106,2.197,0.8133187014000046,0.15572087199999993,0.9121800967815445,0.437245479,1.091392883061106,2.197,4.235823584254893,438976,1.4736125994561546,32.76800000000001,0.6738664100805333,0.028652616,0.7937005259840998,0.125,1.1696070952851465,4.096000000000001,3.124399884763122,28372.625,2.3331065539234754,2048.383,3.0365889718756622,21952,1.7099759466766968,125
Al Horford,29,82,32.1,12.8,0.505,3.1,0.344,0.547,1.6,0.7979999999999999,7.3,3.2,0.8,1.5,1.3,2.0,3.9,2016,0.0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5740609166314434,59.318999999999996,1.1696070952851465,4.096000000000001,0.8178288788255804,0.16366732300000003,0.9283177667225558,0.5120000000000001,1.939877414580333,389.017,1.1447142425533319,3.375,0.7963374241789243,0.12878762500000002,0.9275435230216412,0.5081695919999999,1.091392883061106,2.197,4.344481485768611,551368,1.4736125994561546,32.76800000000001,0.7006796120773449,0.04070758399999999,1.4580997358267116,29.791000000000004,1.2599210498948732,8.0,3.1781057505488417,33076.16100000001,2.3392141905702926,2097.1520000000005,3.072316825685847,24389,1.8171205928321397,216
