,model,param,mae_avg,mse_avg,mape_avg,mvp_avg,top3_order_avg,top3_coverage_avg,mvp_in_top3_avg,mvp_in_top5_avg
81,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 100, 'random_state': 221}",0.10020599576054508,0.02457333170254333,inf,0.5526315789473685,0.07894736842105263,0.6929824561403509,0.8421052631578947,0.9473684210526315
82,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 200, 'random_state': 221}",0.08603794125002855,0.021051235441235078,inf,0.5789473684210527,0.07894736842105263,0.6666666666666669,0.8157894736842105,0.9736842105263158
83,GradientBoostingRegressor,"{'learning_rate': 0.1, 'n_estimators': 10, 'random_state': 221}",0.10018356487351057,0.024690535711599168,inf,0.5526315789473685,0.05263157894736842,0.6578947368421053,0.8421052631578947,0.9473684210526315
84,GradientBoostingRegressor,"{'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 221}",0.08605657987527818,0.02258991530384849,inf,0.5263157894736842,0.07894736842105263,0.6666666666666669,0.8421052631578947,0.9473684210526315
85,GradientBoostingRegressor,"{'learning_rate': 0.1, 'n_estimators': 200, 'random_state': 221}",0.08961992036696338,0.0240633969075056,inf,0.5789473684210527,0.05263157894736842,0.6403508771929826,0.7894736842105263,0.9473684210526315
86,GradientBoostingRegressor,"{'learning_rate': 1, 'n_estimators': 10, 'random_state': 221}",0.10992915964266793,0.04114987324579259,inf,0.42105263157894735,0.02631578947368421,0.5526315789473685,0.631578947368421,0.8421052631578947
87,GradientBoostingRegressor,"{'learning_rate': 1, 'n_estimators': 100, 'random_state': 221}",0.14099865274296497,0.05383634678405128,inf,0.42105263157894735,0.0,0.5175438596491229,0.6842105263157895,0.8157894736842105
88,GradientBoostingRegressor,"{'learning_rate': 1, 'n_estimators': 200, 'random_state': 221}",0.14136959602126115,0.053394518625231535,inf,0.42105263157894735,0.0,0.5175438596491229,0.6842105263157895,0.8157894736842105
89,AdaBoostRegressor,"{'learning_rate': 0.001, 'n_estimators': 10, 'random_state': 221}",0.0792483220150205,0.02352016966809588,inf,0.5,0.05263157894736842,0.649122807017544,0.8421052631578947,0.9210526315789473
90,AdaBoostRegressor,"{'learning_rate': 0.001, 'n_estimators': 100, 'random_state': 221}",0.0778411212249527,0.02179298797332971,inf,0.5526315789473685,0.07894736842105263,0.6754385964912282,0.8157894736842105,0.9210526315789473
91,AdaBoostRegressor,"{'learning_rate': 0.001, 'n_estimators': 200, 'random_state': 221}",0.07756209693573014,0.021458533176072363,inf,0.5789473684210527,0.10526315789473684,0.6754385964912282,0.8157894736842105,0.9210526315789473
92,AdaBoostRegressor,"{'learning_rate': 0.01, 'n_estimators': 10, 'random_state': 221}",0.07983150728950762,0.02305782264936794,inf,0.4473684210526316,0.07894736842105263,0.649122807017544,0.8157894736842105,0.9210526315789473
93,AdaBoostRegressor,"{'learning_rate': 0.01, 'n_estimators': 100, 'random_state': 221}",0.07940491747404378,0.0215686933593538,inf,0.5789473684210527,0.05263157894736842,0.6578947368421053,0.8157894736842105,0.9210526315789473
94,AdaBoostRegressor,"{'learning_rate': 0.01, 'n_estimators': 200, 'random_state': 221}",0.08193865129522356,0.02116121883632708,inf,0.5789473684210527,0.07894736842105263,0.6754385964912282,0.8157894736842105,0.9473684210526315
95,AdaBoostRegressor,"{'learning_rate': 0.1, 'n_estimators': 10, 'random_state': 221}",0.08211043653242946,0.022807677862637047,inf,0.5526315789473685,0.02631578947368421,0.649122807017544,0.8421052631578947,0.9473684210526315
96,AdaBoostRegressor,"{'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 221}",0.09798839211739681,0.02341417618056,inf,0.5789473684210527,0.05263157894736842,0.6754385964912282,0.868421052631579,0.9473684210526315
97,AdaBoostRegressor,"{'learning_rate': 0.1, 'n_estimators': 200, 'random_state': 221}",0.10727190651896636,0.02453943457798453,inf,0.5789473684210527,0.02631578947368421,0.6666666666666669,0.868421052631579,0.9473684210526315
98,AdaBoostRegressor,"{'learning_rate': 1, 'n_estimators': 10, 'random_state': 221}",0.09964334029953228,0.02485143046645677,inf,0.47368421052631576,0.05263157894736842,0.649122807017544,0.7894736842105263,0.8947368421052632
99,AdaBoostRegressor,"{'learning_rate': 1, 'n_estimators': 100, 'random_state': 221}",0.17048739460552367,0.03835705643238376,inf,0.5,0.02631578947368421,0.6666666666666669,0.7894736842105263,0.9210526315789473
100,AdaBoostRegressor,"{'learning_rate': 1, 'n_estimators': 200, 'random_state': 221}",0.17341294352927625,0.03944319771499098,inf,0.5,0.02631578947368421,0.6666666666666669,0.7894736842105263,0.9210526315789473
101,MLPRegressor,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'random_state': 221}",0.14084383556209015,0.036783840856046676,inf,0.47368421052631576,0.05263157894736842,0.6228070175438597,0.8421052631578947,0.8947368421052632
102,MLPRegressor,"{'alpha': 0.0001, 'hidden_layer_sizes': (200,), 'random_state': 221}",0.1442618491904118,0.03805282404608165,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.868421052631579,0.9210526315789473
103,MLPRegressor,"{'alpha': 0.0001, 'hidden_layer_sizes': (300,), 'random_state': 221}",0.12546478236668618,0.030254497882347953,inf,0.6052631578947368,0.02631578947368421,0.6491228070175439,0.8421052631578947,0.9210526315789473
104,MLPRegressor,"{'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'random_state': 221}",0.14074245987861664,0.03673543870784455,inf,0.47368421052631576,0.05263157894736842,0.6228070175438597,0.8421052631578947,0.8947368421052632
105,MLPRegressor,"{'alpha': 1e-05, 'hidden_layer_sizes': (200,), 'random_state': 221}",0.14424985302429916,0.03810926587083611,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.868421052631579,0.9210526315789473
106,MLPRegressor,"{'alpha': 1e-05, 'hidden_layer_sizes': (300,), 'random_state': 221}",0.12555926880769455,0.030284245810206417,inf,0.6052631578947368,0.02631578947368421,0.6491228070175439,0.8421052631578947,0.9210526315789473
107,MLPRegressor,"{'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'random_state': 221}",0.14082478474546645,0.0368079072562057,inf,0.47368421052631576,0.05263157894736842,0.6228070175438598,0.8421052631578947,0.8947368421052632
108,MLPRegressor,"{'alpha': 1e-06, 'hidden_layer_sizes': (200,), 'random_state': 221}",0.14436596559770679,0.03812873948140066,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.868421052631579,0.9210526315789473
109,MLPRegressor,"{'alpha': 1e-06, 'hidden_layer_sizes': (300,), 'random_state': 221}",0.12558260679530545,0.03029427184969858,inf,0.6052631578947368,0.05263157894736842,0.6491228070175439,0.8421052631578947,0.9210526315789473
