,season,win_pct,team
232,2018,.293,DAL
233,2017,.402,DAL
234,2016,.512,DAL
235,2015,.610,DAL
236,2014,.598,DAL
237,2013,.500,DAL
238,2012,.545,DAL
239,2011,.695,DAL
240,2010,.671,DAL
241,2009,.610,DAL
242,2008,.622,DAL
243,2007,.817,DAL
244,2006,.732,DAL
245,2005,.707,DAL
246,2004,.634,DAL
247,2003,.732,DAL
248,2002,.695,DAL
249,2001,.646,DAL
250,1900,.488,DAL
251,1999,.380,DAL
252,1998,.244,DAL
253,1997,.293,DAL
254,1996,.317,DAL
255,1995,.439,DAL
256,1994,.159,DAL
257,1993,.134,DAL
258,1992,.268,DAL
259,1991,.341,DAL
260,1990,.573,DAL
261,1989,.463,DAL
262,1988,.646,DAL
263,1987,.671,DAL
264,1986,.537,DAL
265,1985,.537,DAL
266,1984,.524,DAL
267,1983,.463,DAL
268,1982,.341,DAL
269,1981,.183,DAL
270,2020,.662,DEN
271,2019,.659,DEN
272,2018,.561,DEN
273,2017,.488,DEN
274,2016,.402,DEN
275,2015,.366,DEN
276,2014,.439,DEN
277,2013,.695,DEN
278,2012,.576,DEN
279,2011,.610,DEN
280,2010,.646,DEN
281,2009,.659,DEN
282,2008,.610,DEN
283,2007,.549,DEN
284,2006,.537,DEN
285,2005,.598,DEN
286,2004,.524,DEN
287,2003,.207,DEN
288,2002,.329,DEN
289,2001,.488,DEN
290,1900,.427,DEN
291,1999,.280,DEN
292,1998,.134,DEN
293,1997,.256,DEN
294,1996,.427,DEN
295,1995,.500,DEN
296,1994,.512,DEN
297,1993,.439,DEN
298,1992,.293,DEN
299,1991,.244,DEN
300,1990,.524,DEN
301,1989,.537,DEN
302,1988,.659,DEN
303,1987,.451,DEN
304,1986,.573,DEN
305,1985,.634,DEN
306,1984,.463,DEN
307,1983,.549,DEN
308,1982,.561,DEN
309,1981,.451,DEN
310,2020,.303,DET
311,2019,.500,DET
312,2018,.476,DET
313,2017,.451,DET
314,2016,.537,DET
315,2015,.390,DET
316,2014,.354,DET
317,2013,.354,DET
318,2012,.379,DET
319,2011,.366,DET
320,2010,.329,DET
321,2009,.476,DET
322,2008,.720,DET
323,2007,.646,DET
324,2006,.780,DET
325,2005,.659,DET
326,2004,.659,DET
327,2003,.610,DET
328,2002,.610,DET
329,2001,.390,DET
330,1900,.512,DET
331,1999,.580,DET
332,1998,.451,DET
333,1997,.659,DET
334,1996,.561,DET
335,1995,.341,DET
336,1994,.244,DET
337,1993,.488,DET
338,1992,.585,DET
339,1991,.610,DET
340,1990,.720,DET
341,1989,.768,DET
342,1988,.659,DET
343,1987,.634,DET
344,1986,.561,DET
345,1985,.561,DET
346,1984,.598,DET
347,1983,.451,DET
348,1982,.476,DET
349,1981,.256,DET
350,2020,.231,GSW
351,2019,.695,GSW
352,2018,.707,GSW
353,2017,.817,GSW
354,2016,.890,GSW
355,2015,.817,GSW
356,2014,.622,GSW
357,2013,.573,GSW
358,2012,.348,GSW
359,2011,.439,GSW
360,2010,.317,GSW
361,2009,.354,GSW
362,2008,.585,GSW
363,2007,.512,GSW
364,2006,.415,GSW
365,2005,.415,GSW
366,2004,.451,GSW
367,2003,.463,GSW
368,2002,.256,GSW
369,2001,.207,GSW
370,1900,.232,GSW
371,1999,.420,GSW
372,1998,.232,GSW
373,1997,.366,GSW
374,1996,.439,GSW
375,1995,.317,GSW
376,1994,.610,GSW
377,1993,.415,GSW
378,1992,.671,GSW
379,1991,.537,GSW
380,1990,.451,GSW
381,1989,.524,GSW
382,1988,.244,GSW
383,1987,.512,GSW
384,1986,.366,GSW
385,1985,.268,GSW
386,1984,.451,GSW
387,1983,.366,GSW
388,1982,.549,GSW
389,1981,.476,GSW
390,2020,.625,HOU
391,2019,.646,HOU
392,2018,.793,HOU
393,2017,.671,HOU
394,2016,.500,HOU
395,2015,.683,HOU
396,2014,.659,HOU
397,2013,.549,HOU
398,2012,.515,HOU
399,2011,.524,HOU
400,2010,.512,HOU
401,2009,.646,HOU
402,2008,.671,HOU
403,2007,.634,HOU
404,2006,.415,HOU
405,2005,.622,HOU
406,2004,.549,HOU
407,2003,.524,HOU
408,2002,.341,HOU
409,2001,.549,HOU
410,1900,.415,HOU
411,1999,.620,HOU
412,1998,.500,HOU
413,1997,.695,HOU
414,1996,.585,HOU
415,1995,.573,HOU
416,1994,.707,HOU
417,1993,.671,HOU
418,1992,.512,HOU
419,1991,.634,HOU
420,1990,.500,HOU
421,1989,.549,HOU
422,1988,.561,HOU
423,1987,.512,HOU
424,1986,.622,HOU
425,1985,.585,HOU
426,1984,.354,HOU
427,1983,.171,HOU
428,1982,.561,HOU
429,1981,.488,HOU
430,2020,.600,IND
431,2019,.585,IND
432,2018,.585,IND
433,2017,.512,IND
434,2016,.549,IND
435,2015,.463,IND
436,2014,.683,IND
437,2013,.605,IND
438,2012,.636,IND
439,2011,.451,IND
440,2010,.390,IND
441,2009,.439,IND
442,2008,.439,IND
443,2007,.427,IND
444,2006,.500,IND
445,2005,.537,IND
446,2004,.744,IND
447,2003,.585,IND
448,2002,.512,IND
449,2001,.500,IND
450,1900,.683,IND
451,1999,.660,IND
452,1998,.707,IND
453,1997,.476,IND
454,1996,.634,IND
455,1995,.634,IND
456,1994,.573,IND
457,1993,.500,IND
458,1992,.488,IND
459,1991,.500,IND
460,1990,.512,IND
461,1989,.341,IND
462,1988,.463,IND
463,1987,.500,IND
464,1986,.317,IND
465,1985,.268,IND
466,1984,.317,IND
467,1983,.244,IND
468,1982,.427,IND
469,1981,.537,IND
470,2020,.688,LAC
471,2019,.585,LAC
472,2018,.512,LAC
473,2017,.622,LAC
474,2016,.646,LAC
475,2015,.683,LAC
476,2014,.695,LAC
477,2013,.683,LAC
478,2012,.606,LAC
479,2011,.390,LAC
480,2010,.354,LAC
481,2009,.232,LAC
482,2008,.280,LAC
483,2007,.488,LAC
484,2006,.573,LAC
485,2005,.451,LAC
486,2004,.341,LAC
487,2003,.329,LAC
488,2002,.476,LAC
489,2001,.378,LAC
490,1900,.183,LAC
491,1999,.180,LAC
492,1998,.207,LAC
493,1997,.439,LAC
494,1996,.354,LAC
495,1995,.207,LAC
496,1994,.329,LAC
497,1993,.500,LAC
498,1992,.549,LAC
499,1991,.378,LAC
500,1990,.366,LAC
501,1989,.256,LAC
502,1988,.207,LAC
503,1987,.146,LAC
504,1986,.390,LAC
505,1985,.378,LAC
506,1984,.366,LAC
507,1983,.305,LAC
508,1982,.207,LAC
509,1981,.439,LAC
510,2020,.778,LAL
511,2019,.451,LAL
512,2018,.427,LAL
513,2017,.317,LAL
514,2016,.207,LAL
515,2015,.256,LAL
516,2014,.329,LAL
517,2013,.549,LAL
518,2012,.621,LAL
519,2011,.695,LAL
520,2010,.695,LAL
521,2009,.793,LAL
522,2008,.695,LAL
523,2007,.512,LAL
524,2006,.549,LAL
525,2005,.415,LAL
526,2004,.683,LAL
527,2003,.610,LAL
528,2002,.707,LAL
529,2001,.683,LAL
530,1900,.817,LAL
531,1999,.620,LAL
532,1998,.744,LAL
533,1997,.683,LAL
534,1996,.646,LAL
535,1995,.585,LAL
536,1994,.402,LAL
537,1993,.476,LAL
538,1992,.524,LAL
539,1991,.707,LAL
540,1990,.768,LAL
541,1989,.695,LAL
542,1988,.756,LAL
543,1987,.793,LAL
544,1986,.756,LAL
545,1985,.756,LAL
546,1984,.659,LAL
547,1983,.707,LAL
548,1982,.695,LAL
549,1981,.659,LAL
550,2020,.492,MEM
551,2019,.402,MEM
552,2018,.268,MEM
553,2017,.524,MEM
554,2016,.512,MEM
555,2015,.671,MEM
556,2014,.610,MEM
557,2013,.683,MEM
558,2012,.621,MEM
559,2011,.561,MEM
560,2010,.488,MEM
561,2009,.293,MEM
562,2008,.268,MEM
563,2007,.268,MEM
564,2006,.598,MEM
565,2005,.549,MEM
566,2004,.610,MEM
567,2003,.341,MEM
