pos,fg,fga,fg3,fg3a,fta,efg,tov,pf,per,ts_pct,usg_pct,ows,dws,obpm,dbpm,vorp,season,player,age,win_pct,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
PF,9.6,19.4,0,0,5.9,0.495,2.4,3.3,22.1,0.536,28.8,5.6,5.1,3.6,0.7,4.3,85,Terry Cummings,23,0.719512195,MIL,2,138,780,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189
SG,10.2,19.8,0.1,0.6,9.1,0.518,3.5,3.5,25.8,0.592,29.8,10.3,3.7,5.8,1.5,7.4,85,Michael Jordan,21,0.463414634,CHI,2,134,780,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213
SF,12.6,23.7,0,0.2,10,0.531,3.7,3.5,25.2,0.585,35.1,5.7,1.5,6.1,-1,3.6,85,Bernard King,28,0.292682927,NYK,0,70,780,0.09,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166
PG,7.7,15.9,0.1,0.5,7.5,0.487,2.5,2.7,20.1,0.565,23.6,7.3,3.9,3.8,1,4.7,85,Sidney Moncrief,27,0.719512195,MIL,0,65,780,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197
PG,8,17.4,0.4,1.4,6.1,0.468,3.7,3.6,22.2,0.529,24,7.5,3.6,5.1,1.2,6.5,85,Isiah Thomas,23,0.56097561,DET,0,63,780,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173
PF,9.2,18.3,0,0.1,5.5,0.502,4,3.7,17.4,0.533,25.9,1.4,4.8,-0.3,0.7,1.8,85,Ralph Sampson,24,0.585365854,HOU,0,26,780,0.033,82,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096
PF,8.8,16.1,0,0,7.2,0.546,2.4,2.3,21.8,0.604,24.1,8,2.3,4.2,-1,3.4,85,Calvin Natt,28,0.634146341,DEN,0,22,780,0.028,78,34.1,23.3,7.8,3.1,1,0.4,0.546,0,0.793,10.2,0.185
SF,11.6,22.4,0,0.1,5.7,0.518,3.1,3.2,21.6,0.561,29.3,6.8,2.1,4.1,-1.4,3.5,85,Alex English,31,0.634146341,DEN,0,12,780,0.015,81,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,8.9,0.146
C,8.3,15.3,0,0,6.7,0.538,2.9,4.2,21.1,0.564,23.5,5.3,4.9,1.7,0.4,3,85,Hakeem Olajuwon,22,0.585365854,HOU,0,12,780,0.015,82,35.5,20.6,11.9,1.4,1.2,2.7,0.538,0,0.613,10.2,0.168
PG,8.4,17.9,0.4,1.4,3.8,0.479,3,3.4,19.8,0.513,24,4.5,4.2,2.5,1.6,4.8,85,Micheal Ray Richardson,29,0.512195122,NJN,0,11,780,0.014,82,38.1,20.1,5.6,8.2,3,0.3,0.469,0.252,0.767,8.7,0.134
SG,6.4,13.1,0.6,1.5,5.1,0.514,3.2,3,16.2,0.582,23.3,4,1.5,1.7,-1.3,1.4,85,Andrew Toney,27,0.707317073,PHI,0,5,780,0.006,70,32,17.8,2.5,5.2,0.9,0.3,0.492,0.371,0.862,5.5,0.118
C,3.7,8.2,0,0,3.3,0.449,2.5,3.8,13.6,0.502,14.1,-1.3,6.7,-3.1,4.2,2.3,85,Mark Eaton,28,0.5,UTA,0,4,780,0.005,82,34.3,9.7,11.3,1.5,0.4,5.6,0.449,0,0.712,5.4,0.093
SF,6,11.6,0.1,0.3,5.2,0.521,3.1,3.2,17.6,0.577,19.2,5.2,4.4,2.6,1.6,4.5,85,Paul Pressey,26,0.719512195,MIL,0,3,780,0.004,80,36,16.1,5.4,6.8,1.6,0.7,0.517,0.35,0.758,9.6,0.16
C,6.8,13.9,0,0.1,5.8,0.49,2.4,3.5,20.4,0.564,22.2,4.6,3.7,2.4,2,3.9,85,Jack Sikma,29,0.37804878,SEA,0,3,780,0.004,68,35.3,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,8.3,0.166
SF,10.5,23.3,0.3,1,7.4,0.458,2.8,2.1,20.9,0.514,32.5,4.1,3.5,3.1,-0.9,3.2,85,Dominique Wilkins,25,0.414634146,ATL,0,3,780,0.004,81,37.3,27.4,6.9,2.5,1.7,0.7,0.451,0.309,0.806,7.6,0.121
SG,8.6,18.7,1,2.7,5.8,0.485,2,2.3,19.7,0.529,29.4,4.5,1.4,3.7,-0.8,2.8,85,World B. Free,31,0.43902439,CLE,0,2,780,0.003,71,31.7,22.5,3,4.5,1.1,0.2,0.459,0.368,0.749,6,0.127
SF,10.5,22.8,0.6,1.9,7.9,0.473,3.1,3.3,18.9,0.533,29.1,5.4,0.8,2.5,-1.9,2,85,Purvis Short,27,0.268292683,GSW,0,2,780,0.003,78,39.5,28,5.1,3,1.5,0.3,0.46,0.313,0.817,6.2,0.097
SG,7.2,14.5,0.1,0.5,3.7,0.497,2.8,3.3,19.7,0.534,23.5,4,3.5,2.9,1.4,4.1,85,Clyde Drexler,22,0.512195122,POR,0,1,780,0.001,80,31.9,17.2,6,5.5,2.2,0.9,0.494,0.216,0.759,7.5,0.141
SF,7.8,15.8,0,0.2,5.7,0.495,2.7,2.6,20,0.546,26,4.5,3.1,3,0.5,3.5,85,Julius Erving,34,0.707317073,PHI,0,1,780,0.001,78,32.5,20,5.3,3,1.7,1.4,0.494,0.214,0.765,7.6,0.144
SF,9.7,19.6,1,2.4,6,0.521,3.2,2.2,25.6,0.58,27.6,9.6,6.2,6.6,2.1,8.4,86,Larry Bird,29,0.817073171,BOS,73,765,780,0.981,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
SF,11.4,24.3,0.2,0.9,9,0.472,3.2,2.2,23.3,0.536,32.9,7,3.9,4.6,-0.5,4.8,86,Dominique Wilkins,26,0.609756098,ATL,5,407,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17
PG,6.7,12.8,0.1,0.6,6,0.532,3.8,1.8,24,0.61,21.6,9,3.1,6,0.7,5.7,86,Magic Johnson,26,0.756097561,LAL,0,205,780,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226
C,9.2,17.5,0,0,7.9,0.526,2.9,4,24.2,0.56,25.6,5.3,4.2,2.9,1.2,3.8,86,Hakeem Olajuwon,23,0.62195122,HOU,0,193,780,0.247,68,36.3,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,0.186
C,9.6,16.9,0,0,5.6,0.564,2.6,3.1,22.7,0.603,26.6,7.6,3.2,4.4,1,4.9,86,Kareem Abdul-Jabbar,38,0.756097561,LAL,0,135,780,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197
PF,7.4,13,0.2,0.9,7.2,0.58,4.4,4.2,22.4,0.619,22.4,5.4,5.5,3.1,2,5.3,86,Charles Barkley,22,0.658536585,PHI,0,133,780,0.171,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176
PG,6.4,13.2,0.5,1.4,7.9,0.506,2.4,2.4,20,0.604,21.8,8.3,3.4,4.2,0.7,4.5,86,Sidney Moncrief,28,0.695121951,MIL,0,56,780,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219
SF,11.7,23.3,0,0.1,7.3,0.504,3.1,2.9,21.7,0.562,30.5,7.6,2.3,4.4,-1.5,3.7,86,Alex English,32,0.573170732,DEN,0,55,780,0.071,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156
PG,7.9,16.2,0.3,1.1,6,0.498,3.8,3.2,21.2,0.554,24.4,6.1,2.7,4.3,0.7,4.9,86,Isiah Thomas,24,0.56097561,DET,0,28,780,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151
C,7.7,16.8,0,0,10.6,0.458,3.5,2.6,20.6,0.553,27.6,5.5,3.4,1.8,-1.9,1.3,86,Moses Malone,30,0.658536585,PHI,0,21,780,0.027,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157
PF,8.3,17.5,0,0,4.9,0.474,2.3,3.5,18.2,0.503,27.2,2.5,4.9,0.9,0,2,86,Terry Cummings,24,0.695121951,MIL,0,9,780,0.012,82,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,0.133
SF,8.4,14.5,0,0.2,4.2,0.579,2,2.6,20.4,0.613,22.6,6.7,2.7,3.5,0.3,3.6,86,James Worthy,24,0.756097561,LAL,0,7,780,0.009,75,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185
PF,8.3,14.4,0,0,6.2,0.574,2.2,2.8,21.6,0.623,22.5,7.2,3.8,3.7,0.8,3.9,86,Kevin McHale,28,0.817073171,BOS,0,3,780,0.004,68,35.3,21.3,8.1,2.7,0.4,2,0.574,0,0.776,11,0.22
SF,5.1,10.5,0.1,0.6,4.9,0.492,3,3.1,18.6,0.564,18.6,5.1,4.7,3.3,2.4,5.3,86,Paul Pressey,27,0.695121951,MIL,0,3,780,0.004,80,33.8,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174
SG,6.9,13.3,0.1,0.4,4,0.518,3.1,3.6,19.5,0.563,20.9,4,4.6,1.5,3.3,4.9,86,Alvin Robertson,23,0.426829268,SAS,0,3,780,0.004,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143
SF,10.8,19.1,0,0.1,10.5,0.563,3,2.7,24.6,0.629,30,10.4,2.3,6,-1,4.8,86,Adrian Dantley,30,0.512195122,UTA,0,2,780,0.003,76,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223
PF,6.1,11.7,0,0,5.4,0.523,3,3.6,15.1,0.565,18.1,2.8,4,-0.1,-0.4,1.1,86,Buck Williams,25,0.475609756,NJN,0,2,780,0.003,82,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106
PG,6.2,13.6,0.1,0.5,3.8,0.458,2.2,2.6,14.7,0.509,20.5,3,3.7,0,0.5,1.8,86,Dennis Johnson,31,0.817073171,BOS,0,1,780,0.001,78,35,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118
PG,8.5,16.4,0.1,0.5,7.9,0.525,3.8,2.1,27,0.602,26.3,12.1,3.8,7.5,1.3,8,87,Magic Johnson,27,0.792682927,LAL,65,733,780,0.94,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
SG,13.4,27.8,0.1,0.8,11.9,0.484,3.3,2.9,29.8,0.562,38.3,11.9,5,8.4,2.4,10.6,87,Michael Jordan,23,0.487804878,CHI,10,449,780,0.576,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247
SF,10.6,20.2,1.2,3,6.1,0.555,3.2,2.5,26.4,0.612,27.5,10.4,4.8,7.3,2,8.6,87,Larry Bird,30,0.719512195,BOS,1,271,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243
PF,10.3,17,0,0.1,6.6,0.604,2.6,3.1,24,0.655,24.1,10.8,4,4.7,0.4,5.5,87,Kevin McHale,29,0.719512195,BOS,0,254,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232
SF,10.5,22.6,0.4,1.3,9.4,0.472,2.7,1.9,23.5,0.543,32.3,8.4,3.7,5.5,0,5.6,87,Dominique Wilkins,27,0.695121951,ATL,0,128,780,0.164,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197
PF,8.2,13.8,0.3,1.5,8.3,0.606,4.7,3.7,25.1,0.66,23.1,7.7,4.3,5.4,1.3,6,87,Charles Barkley,23,0.548780488,PHI,1,113,780,0.145,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21
C,9,17.8,0,0.1,7.6,0.509,3,3.9,23.8,0.554,26.8,4.9,6,3.1,2.7,5.4,87,Hakeem Olajuwon,24,0.512195122,HOU,1,28,780,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189
PG,7.7,16.7,0.2,1.2,6.4,0.47,4.2,3.1,18.8,0.528,25.9,3.8,3.8,2.9,0.4,4,87,Isiah Thomas,25,0.634146341,DET,0,17,780,0.022,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121
PG,7.8,16.7,0.3,1.1,3.8,0.477,2,2.7,20.8,0.515,21.1,6,3.8,3.5,1.4,5.4,87,Fat Lever,26,0.451219512,DEN,0,11,780,0.014,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153
C,8.2,18,0,0.2,9.5,0.454,2.8,1.9,23.8,0.545,29.3,6,3.4,4.3,-1.5,3,87,Moses Malone,31,0.512195122,WSB,0,9,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182
C,6.3,11.3,0,0,6.2,0.556,3.5,4.3,15.1,0.602,23.1,2.1,2.4,-1,-0.4,0.3,87,Steve Johnson,29,0.597560976,POR,0,4,780,0.005,79,29.7,16.8,7.2,2,0.6,1,0.556,0,0.698,4.4,0.091
PF,8.9,17.3,0,0.1,6.6,0.512,2.9,3.9,18,0.536,26.3,1.8,5.1,0.3,0,1.7,87,Karl Malone,23,0.536585366,UTA,0,3,780,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116
C,7.4,13.2,0,0,3.9,0.556,2.4,3.3,17.7,0.588,19.7,4.6,4.5,0.9,0.3,2.4,87,Robert Parish,33,0.719512195,BOS,0,3,780,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147
SF,11.8,23.4,0,0.2,5.9,0.504,2.6,2.6,20.5,0.549,29.2,7,1.1,4,-2,3.1,87,Alex English,33,0.451219512,DEN,0,2,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126
SF,9.8,19.9,0.7,1.9,7,0.512,2.7,3,22.1,0.56,31.3,6.8,2.1,4.1,-1.1,3.4,87,Mark Aguirre,27,0.670731707,DAL,0,1,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16
SG,7.8,15.8,0.1,0.2,5.9,0.497,2.2,1.8,18.1,0.569,24.3,6.5,1.5,2.2,-1.1,2.1,87,Rolando Blackman,27,0.670731707,DAL,0,1,780,0.001,80,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14
C,8.5,18,0,0,5.3,0.472,2.8,3.1,18.4,0.521,27.8,2.1,2.6,0.9,-0.2,1.8,87,Joe Barry Carroll,28,0.512195122,GSW,0,1,780,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,0.472,0,0.787,4.6,0.082
SG,13,24.4,0.1,0.6,10.5,0.537,3.1,3.3,31.7,0.603,34.1,15.2,6.1,8.8,4.2,12.5,88,Michael Jordan,24,0.609756098,CHI,47,665,800,0.831,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
SF,11.6,22,1.3,3.1,6,0.556,2.8,2.1,27.8,0.608,30.2,11.2,3.8,7.8,1,8.1,88,Larry Bird,31,0.695121951,BOS,16,527,800,0.659,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243
PG,6.8,13.8,0.2,0.8,6.8,0.497,3.7,2,23.1,0.581,23.4,7.8,3.1,5.2,0.8,5.3,88,Magic Johnson,28,0.756097561,LAL,16,508,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199
PF,9.4,16,0.6,2,11.9,0.604,3.8,3.5,27.6,0.665,26.7,13.4,3.3,7.3,0.1,7.5,88,Charles Barkley,24,0.43902439,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253
SG,10.5,20.7,0.1,0.6,7.2,0.509,2.9,3.1,24.1,0.564,28,9.3,3.9,5.7,1.4,7,88,Clyde Drexler,25,0.646341463,POR,0,86,800,0.108,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207
SF,11.7,25.1,0.5,1.7,8.4,0.474,2.8,2.1,23.7,0.534,35.2,7,2.8,5.4,-1.1,4.7,88,Dominique Wilkins,28,0.609756098,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16
C,9,17.5,0,0.1,6.9,0.514,3.1,4.1,23.4,0.555,26.5,4.4,6.3,2.2,2.2,4.6,88,Hakeem Olajuwon,25,0.56097561,HOU,0,40,800,0.05,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182
PF,10.5,20.1,0,0.1,9.6,0.52,4,3.6,20.7,0.568,29.7,4,6.1,1.7,-0.2,2.9,88,Karl Malone,24,0.573170732,UTA,0,36,800,0.045,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152
SG,7.8,16.6,0.1,0.7,3.9,0.477,2.2,2.6,20.5,0.516,21.4,5.5,4.9,3,2.2,5.5,88,Fat Lever,27,0.658536585,DEN,0,26,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163
PG,5.5,9.6,0.3,0.8,4,0.589,3.2,3,23.2,0.645,17.2,9.2,4.9,5.2,3.3,7.6,88,John Stockton,25,0.573170732,UTA,0,15,800,0.019,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238
SF,10.5,21.3,0,0.1,4.7,0.495,2.3,2.4,19.8,0.535,28.4,5.3,2.2,3.4,-1.4,2.9,88,Alex English,34,0.658536585,DEN,0,4,800,0.005,80,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129
PG,7.7,16.6,0.4,1.2,4.9,0.474,3.4,2.7,18.2,0.521,25.4,3.8,3.7,2.6,0.4,3.7,88,Isiah Thomas,26,0.658536585,DET,0,3,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124
PG,5.3,12.4,0.4,1.5,3.2,0.448,3.1,3,15.7,0.493,17.3,3.5,4.2,1.6,1.1,3.9,88,Mark Jackson,22,0.463414634,NYK,0,2,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
PG,5.1,11.3,1.7,4.6,2.4,0.524,1.8,1.7,15.6,0.56,16.2,4.4,3.2,1.5,0.9,3.1,88,Michael Adams,25,0.658536585,DEN,0,1,800,0.001,82,33.9,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13
SF,9.7,20.4,0.7,2.2,6.5,0.491,2.6,2.9,21.9,0.539,31.6,6.5,2.3,4.6,-0.8,3.9,88,Mark Aguirre,28,0.646341463,DAL,0,1,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163
SF,6.4,12.5,0,0,8.3,0.514,2,2.1,19.9,0.619,24.2,7.5,1.9,3.7,-0.2,2.9,88,Adrian Dantley,32,0.658536585,DET,0,1,800,0.001,69,31.1,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,0.21
PF,6.7,11.9,0,0,7.4,0.561,2.7,3.8,18.2,0.603,20,4.8,2.8,1.3,-1.1,1.5,88,Buck Williams,27,0.231707317,NJN,0,1,800,0.001,70,37.7,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138
PG,7.5,14.8,0.8,2.4,7.3,0.535,4.1,2.2,26.9,0.625,24.3,12.1,4,7.3,2,8.3,89,Magic Johnson,29,0.695121951,LAL,42.5,664.5,850,0.782,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
SG,11.9,22.2,0.3,1.2,9.8,0.546,3.6,3,31.1,0.614,32.1,14.6,5.2,8.4,3.4,11.4,89,Michael Jordan,25,0.573170732,CHI,27.5,598.8,850,0.704,81,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292
PF,10.1,19.5,0.1,0.2,11.5,0.521,3.6,3.6,24.4,0.592,30.4,8.6,6.6,4.3,1.2,5.9,89,Karl Malone,25,0.62195122,UTA,5,362,850,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233
C,9.1,16,0,0.1,6.1,0.567,3.3,3.9,22.1,0.607,23.6,6.2,4.7,2.3,2.3,4.8,89,Patrick Ewing,26,0.634146341,NYK,8,200,850,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181
C,9.6,19,0,0.1,8,0.508,3.4,4,25.2,0.552,28.2,4.6,7.8,2.7,2.9,5.7,89,Hakeem Olajuwon,26,0.548780488,HOU,2,179.3,850,0.211,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197
PF,8.9,15.3,0.4,2.1,10.1,0.594,3.2,3.3,27,0.653,24.4,13.2,2.9,7.3,0.2,7.4,89,Charles Barkley,25,0.56097561,PHI,0,94.3,850,0.111,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25
PG,6.1,11.3,0.2,0.8,5.5,0.547,3.8,2.9,22.9,0.624,19.1,9.8,5.8,5.1,3.2,8.3,89,John Stockton,26,0.62195122,UTA,0,28,850,0.033,82,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236
PG,7,13.9,0,0.3,7.1,0.506,4,2.8,20.5,0.597,21.2,8.6,3.5,3.9,0.3,5,89,Kevin Johnson,22,0.670731707,PHO,0,22,850,0.026,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184
PF,9.6,20.3,0.3,1.1,7.4,0.48,2.9,3.3,19.3,0.547,28.2,5.1,4.1,1.6,-0.2,2.6,89,Tom Chambers,29,0.670731707,PHO,0,20,850,0.024,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146
PG,7.1,13.4,1.2,2.8,3.9,0.572,2.8,1.3,20.6,0.623,21,8,3.3,4.5,0,4.5,89,Mark Price,24,0.695121951,CLE,0,18,850,0.021,75,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199
C,7,13,0,0,6.7,0.538,2.9,2.2,18.5,0.594,22.2,5,4.6,1.6,0.5,2.9,89,Brad Daugherty,23,0.695121951,CLE,0,4,850,0.005,78,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164
C,7.5,13.1,0,0,5.1,0.57,2.5,2.6,21.6,0.607,20.9,6.9,3.6,3.5,-0.2,3.8,89,Robert Parish,35,0.512195122,BOS,0,4,850,0.005,80,35.5,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,0.177
C,2.3,5,0,0,2.4,0.462,1.7,3.5,10.6,0.513,9.2,0,6.5,-2.5,3.1,1.9,89,Mark Eaton,32,0.62195122,UTA,0,3,850,0.004,82,35.5,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,0.108
C,6.6,13.5,0,0.1,8.8,0.491,3,1.9,21.2,0.581,23.4,6.8,3.9,3,-1.2,2.7,89,Moses Malone,33,0.634146341,ATL,0,3,850,0.004,81,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,0.178
SF,10.1,19.9,0.3,1.2,6.7,0.516,3.6,2.2,21.9,0.581,26.6,7.5,3.1,3.7,0.3,4.7,89,Chris Mullin,25,0.524390244,GSW,0,3,850,0.004,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165
PF,6.8,12.6,0,0.1,4.6,0.539,1.6,2.5,19.9,0.59,19.9,5.7,4.7,1.9,2,3.8,89,Larry Nance,29,0.695121951,CLE,0,3,850,0.004,73,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197
SF,9.1,19.5,0.1,0.2,5.8,0.469,2.5,3.3,19.7,0.518,28.9,4.2,3.5,2,-0.8,2.3,89,Terry Cummings,27,0.597560976,MIL,0,1,850,0.001,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131
SG,6.6,13.1,0.2,0.4,4.4,0.513,2.6,1.5,16.8,0.571,21.6,4.8,2.2,2.2,-0.2,2.4,89,Joe Dumars,25,0.768292683,DET,0,1,850,0.001,69,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7,0.14
PG,7.1,15.3,0.4,1.5,4.4,0.477,3.7,2.6,17.1,0.528,24.6,3.1,3.9,2,0.6,3.4,89,Isiah Thomas,27,0.768292683,DET,0,1,850,0.001,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115
PG,6.9,14.4,1.3,3.5,8.1,0.526,3.7,2.1,26.6,0.622,24.8,12.8,3.8,8.3,1.8,8.9,90,Magic Johnson,30,0.768292683,LAL,27,636,920,0.691,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
SF,8.9,14.9,0.3,1.2,9.4,0.608,3.1,3.2,27.1,0.661,24,13.1,4.2,7.2,1,8,90,Charles Barkley,26,0.646341463,PHI,38,614,920,0.667,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269
SG,12.6,24,1.1,3,8.5,0.55,3,2.9,31.2,0.606,33.7,14.7,4.3,9.1,2.1,10.6,90,Michael Jordan,26,0.670731707,CHI,21,564,920,0.613,82,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285
PF,11.1,19.8,0.2,0.5,11.1,0.567,3.7,3.2,27.2,0.626,32.6,10.5,5.4,5.9,0.5,6.6,90,Karl Malone,26,0.670731707,UTA,2,214,920,0.233,82,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245
C,11.2,20.4,0,0,7.9,0.551,3.4,4,25.8,0.599,29.4,8.3,5.3,3.7,1.8,6,90,Patrick Ewing,27,0.548780488,NYK,1,162,920,0.176,82,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205
C,8.4,15.9,0,0,10.2,0.531,3.1,3.2,26.3,0.597,26.6,7.9,7.2,4,2.9,6.8,90,David Robinson,24,0.682926829,SAS,2,102,920,0.111,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241
C,9.8,19.6,0,0.1,6.5,0.501,3.9,3.8,24.1,0.541,28.1,2.5,8.7,1.8,4,6.2,90,Hakeem Olajuwon,27,0.5,HOU,1,64,920,0.07,82,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173
PF,10,20,0.3,1.1,8,0.508,2.7,3.2,20.9,0.579,28.8,7.5,3.7,2.7,-0.3,3.3,90,Tom Chambers,30,0.658536585,PHO,0,12,920,0.013,81,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176
PG,6.1,11.8,0.6,1.4,5.5,0.54,3.5,3,23.9,0.607,20.6,10.4,4,6.7,2.2,8,90,John Stockton,27,0.670731707,UTA,0,9,920,0.01,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238
