pos,fg,fga,fg3,fg3a,fta,efg,tov,pf,per,ts_pct,usg_pct,ows,dws,obpm,dbpm,vorp,season,player,age,win_pct,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
C,6.7,10,0,0,6.5,0.67,2.9,3.6,21.7,0.699,18.5,8.4,3.9,3.1,1.2,4.5,81,Artis Gilmore,31,0.548780488,CHI,0,4,690,0.006,82,34.5,17.9,10.1,2.1,0.6,2.4,0.67,0,0.705,12.3,0.208
C,5.6,10.7,0,0,4.1,0.526,2.1,2.7,19.7,0.573,21.8,3.7,3,2.5,1.4,2.6,81,Bob Lanier,32,0.731707317,MIL,0,4,690,0.006,67,26.2,14.3,6.2,2.7,1.1,1.2,0.525,1,0.751,6.8,0.185
SG,4,8.1,0,0.2,1.8,0.494,2,3.1,12.2,0.53,13.5,2,3,-0.6,1.5,1.9,81,Michael Cooper,24,0.658536585,LAL,0,3,690,0.004,81,32.4,9.4,4.1,4.1,1.6,1,0.491,0.211,0.785,5,0.092
SG,7.6,14.1,0.1,0.2,3.2,0.542,2.8,2.5,18.4,0.579,25.6,4,3.2,1.8,0.1,2.1,81,Walter Davis,26,0.695121951,PHO,0,3,690,0.004,78,28,18,2.6,3.9,1.2,0.2,0.539,0.412,0.836,7.1,0.157
C,2,4.2,0,0,1.3,0.473,1.3,3.3,13.5,0.517,10.4,1.1,3.4,-1.4,3,1.8,81,George Johnson,32,0.634146341,SAS,0,3,690,0.004,82,23.6,5,7.3,1.1,0.6,3.4,0.473,0,0.734,4.5,0.112
PF,5,9.3,0,0,4.3,0.539,1.8,2.8,20.1,0.604,20.8,5.4,3.9,2.7,2,3.5,81,Bobby Jones,29,0.756097561,PHI,0,3,690,0.004,81,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0,0.813,9.2,0.217
SF,10.4,21.8,0,0.1,4.7,0.477,2.1,2.4,17.5,0.513,26.9,5,1.1,1.9,-2.2,1.3,81,Mike Mitchell,25,0.341463415,CLE,0,3,690,0.004,82,39,24.5,6.1,1.7,0.8,0.6,0.476,0.444,0.784,6,0.091
PG,6.3,13.3,0,0,5.9,0.477,2.1,1.7,19.4,0.557,26.1,5.7,1.3,2.6,-1.6,1.6,81,James Silas,31,0.634146341,SAS,0,3,690,0.004,75,27.4,17.7,3.1,3.8,0.7,0.2,0.477,0,0.85,7,0.164
PG,5.7,11.7,0,0.1,2.5,0.493,2.9,3.3,15.1,0.522,21.1,1.4,4,-0.9,1.7,1.7,81,Quinn Buckner,26,0.731707317,MIL,0,1,690,0.001,82,29.1,13.3,3.6,4.7,2.4,0,0.493,0.167,0.734,5.4,0.108
C,2.7,6,0,0,2.4,0.449,2.1,3.3,10.1,0.512,11.3,0.1,5.4,-2.1,1.5,0.9,81,Caldwell Jones,30,0.756097561,PHI,0,1,690,0.001,81,32.6,7.2,10,1.5,0.7,1.7,0.449,0,0.767,5.5,0.1
C,11.7,22.5,0,0.1,10.2,0.519,3.6,2.6,26.8,0.576,29.9,11.7,3.7,6.2,-1.8,5.5,82,Moses Malone,26,0.56097561,HOU,40,507,690,0.735,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218
PF,9.2,18.4,0.1,0.7,4.9,0.507,3.3,3.2,22.6,0.557,25.2,6.8,5.7,4.4,2.3,6.4,82,Larry Bird,25,0.768292683,BOS,20,406,690,0.588,77,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205
SF,9.6,17.6,0,0.1,6.7,0.547,2.6,2.8,25.9,0.593,28.1,8.7,4.6,6,1.7,6.8,82,Julius Erving,31,0.707317073,PHI,1,203,690,0.294,81,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,0.229
C,8.4,15.4,0,0,4.4,0.542,2.8,3.3,22.6,0.571,25.5,5,5.1,2.6,1.2,3.7,82,Robert Parish,28,0.768292683,BOS,4,131,690,0.19,80,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,0.19
PG,9.7,19.9,0.1,0.5,5.5,0.488,2.5,2,21.8,0.526,28.5,5.9,4.3,4.1,1,5.2,82,Gus Williams,28,0.634146341,SEA,2,115,690,0.167,80,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171
SG,12.6,25.2,0.1,0.5,8.1,0.502,2.7,2.7,24.2,0.562,35,8.7,2,5.4,-1.5,4.2,82,George Gervin,29,0.585365854,SAS,1,110,690,0.159,79,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,0.182
SG,7,13.3,0,0.2,7.2,0.524,2.6,2.6,20.1,0.601,21,8.9,4.5,3.9,0.9,5.1,82,Sidney Moncrief,24,0.670731707,MIL,1,101,690,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216
SG,7.1,13.3,0.1,0.4,5.6,0.54,3.7,2.9,22.9,0.59,20.1,8.1,4.8,4.9,2.3,7,82,Magic Johnson,22,0.695121951,LAL,0,67,690,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207
C,7.1,14.8,0,0.2,6.4,0.48,2.6,3.3,20.6,0.559,22.5,5.9,6.7,2.2,1.7,4.5,82,Jack Sikma,26,0.634146341,SEA,0,33,690,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199
C,9.9,17.1,0,0,5.8,0.579,3,2.9,23.4,0.608,25.6,6.9,3.9,3.8,1.2,4.7,82,Kareem Abdul-Jabbar,34,0.695121951,LAL,0,31,690,0.045,76,35.2,23.9,8.7,3,0.8,2.7,0.579,0,0.706,10.7,0.192
PF,7,14.9,0,0.1,6.1,0.466,3,3.4,19.5,0.527,24.6,2.4,4.1,1.6,0.7,2.4,82,Dan Roundfield,28,0.512195122,ATL,0,14,690,0.02,61,36.3,18.6,11.8,2.7,1,1.5,0.466,0.2,0.76,6.5,0.141
SF,7.8,15.6,0.1,0.3,7.6,0.498,3.4,2.9,16.4,0.57,23.3,5.4,2.1,1.5,-1.3,1.7,82,Kelly Tripucka,22,0.475609756,DET,0,14,690,0.02,82,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,7.5,0.117
SF,10.4,18.9,0,0.1,5.4,0.551,3.2,3.2,22.2,0.596,25.3,8.9,0.6,4.9,-1.1,4.4,82,Alex English,28,0.56097561,DEN,0,12,690,0.017,82,36.8,25.4,6.8,5.3,1.1,1.5,0.551,0,0.84,9.5,0.152
SF,9.4,16.5,0,0.1,6.3,0.567,3.4,3.6,19.8,0.6,25.3,6.6,2.2,2.9,-0.6,3.1,82,Bernard King,25,0.548780488,GSW,0,10,690,0.014,79,36.2,23.2,5.9,3.6,1,0.3,0.566,0.2,0.705,8.7,0.147
SF,11.2,19.6,0,0,10.1,0.57,3.7,3.1,24.2,0.631,27.9,11.9,0.7,5.8,-1.7,5,82,Adrian Dantley,26,0.304878049,UTA,0,7,690,0.01,81,39.8,30.3,6.3,4,1.2,0.2,0.57,0.333,0.792,12.6,0.187
SG,7.8,16.9,0.1,0.7,5.7,0.465,3.5,3.7,19,0.527,27.4,3.3,4.6,2,1.7,3.9,82,Ray Williams,27,0.536585366,NJN,0,6,690,0.009,82,33.3,20.4,4,6,2.4,0.5,0.462,0.167,0.832,7.9,0.139
SG,5,9.8,0,0.2,2.3,0.518,2,2.8,14.3,0.556,17.5,2.4,2.6,-0.3,1.2,1.6,82,Michael Cooper,25,0.695121951,LAL,0,3,690,0.004,76,28.9,11.9,3.5,3,1.6,0.8,0.517,0.118,0.813,5,0.109
C,8,15.3,0,0.1,8.1,0.528,2.1,3,23.1,0.608,26,9,0.8,4,-1.8,2.6,82,Dan Issel,33,0.56097561,DEN,0,3,690,0.004,81,30.5,22.9,7.5,2.2,0.8,0.7,0.527,0.667,0.834,9.8,0.19
SF,6.7,12.7,0,0.1,4.3,0.532,2.4,2.4,18,0.566,22.1,3.5,2.7,2.9,0,2.3,82,Marques Johnson,25,0.670731707,MIL,0,3,690,0.004,60,31.7,16.5,6.1,3.6,1,0.6,0.532,0,0.7,6.2,0.158
PG,6.3,14.8,0.2,0.8,6,0.432,4.2,3.5,14.5,0.487,25,-0.2,2.5,-0.3,-0.6,0.7,82,Isiah Thomas,20,0.475609756,DET,0,3,690,0.004,72,33.8,17,2.9,7.8,2.1,0.2,0.424,0.288,0.704,2.3,0.046
SG,7.2,15.4,0.1,0.5,6.2,0.473,2.9,3.2,16.7,0.54,23.6,4.1,4,1.2,0.1,2.5,82,Dennis Johnson,27,0.56097561,PHO,0,1,690,0.001,80,36.7,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.806,8.1,0.132
C,8.6,16.5,0,0,5.6,0.523,3.1,2.9,19.2,0.548,22.9,4.5,3.6,2.3,0,3.4,82,Mychal Thompson,27,0.512195122,POR,0,1,690,0.001,79,39.6,20.8,11.7,4,0.9,1.4,0.523,0,0.628,8.2,0.125
PF,8.9,17.9,0,0,5,0.497,2.4,3.8,18.7,0.532,28.6,3.6,2,1.7,-1.2,1.6,82,Jay Vincent,22,0.341463415,DAL,0,1,690,0.001,81,32.4,21.4,7,2.2,1.1,0.3,0.497,0.25,0.716,5.6,0.102
SF,9.1,17.3,0,0,4.1,0.525,2,2.9,16.5,0.554,23.6,5.3,2.4,0.7,-1.5,0.9,82,Jamaal Wilkes,28,0.695121951,LAL,0,1,690,0.001,82,35.4,21.1,4.8,1.7,1.1,0.3,0.525,0,0.732,7.7,0.127
PF,6.3,10.7,0,0,4.7,0.582,2.9,3.5,17.2,0.603,18.2,3.6,5.3,0.7,0,1.9,82,Buck Williams,21,0.536585366,NJN,0,1,690,0.001,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152
C,8.4,16.7,0,0,10.1,0.501,3.4,2.6,25.1,0.578,26,9.1,6,4,-0.3,4.2,83,Moses Malone,27,0.792682927,PHI,69,720,750,0.96,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248
PF,9.5,18.7,0.3,1,5.3,0.512,3,2.5,24.1,0.561,25,8.4,5.6,5.4,2.1,7.2,83,Larry Bird,26,0.682926829,BOS,1,364,750,0.485,79,37.7,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,0.225
SG,6.5,11.8,0,0.3,4.8,0.548,3.8,2.5,23,0.603,19,8.8,3.8,5.4,1.8,6.8,83,Magic Johnson,23,0.707317073,LAL,2,304.5,750,0.406,79,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0,0.8,12.5,0.207
SG,8,15.2,0,0.1,7.9,0.525,2.6,2.4,22.6,0.602,24.7,9.7,3.5,5.1,0.4,5.1,83,Sidney Moncrief,25,0.62195122,MIL,0,226,750,0.301,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233
SF,8.4,16.3,0,0.1,6,0.518,2.7,2.8,23.1,0.566,25.5,6.8,4.1,4.6,1.9,5.2,83,Julius Erving,32,0.792682927,PHI,3,112,750,0.149,72,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217
SF,11.7,22.6,0,0.1,6,0.517,3.2,2.9,24.1,0.561,28.9,8.7,1.6,5.4,-0.8,5,83,Alex English,29,0.548780488,DEN,0,42,750,0.056,82,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166
PF,6.5,11.1,0,0,6.4,0.588,3,3.3,18.6,0.611,18.4,5.5,5.9,1.6,0.4,3,83,Buck Williams,22,0.597560976,NJN,0,40,750,0.053,82,36.1,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,0.185
C,6.8,10.8,0,0.1,6,0.626,3.1,3.3,21.2,0.668,19.4,7.5,3.5,2.7,0.2,3.4,83,Artis Gilmore,33,0.646341463,SAS,0,33,750,0.044,82,34.1,18,12,1.5,0.5,2.3,0.626,0,0.74,11,0.189
SG,9.7,19.9,0.2,0.4,7.8,0.491,3.2,3.1,20.5,0.561,29.1,7.6,1.8,2.9,-1.1,2.7,83,George Gervin,30,0.646341463,SAS,0,30,750,0.04,78,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159
C,9.1,15.5,0,0,4.7,0.588,2.5,2.8,23.6,0.619,24.6,8,2.9,4,0.5,4.2,83,Kareem Abdul-Jabbar,35,0.707317073,LAL,0,15,750,0.02,79,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,0.205
C,6.5,13.9,0,0.1,6.4,0.464,2.5,3.5,19.6,0.546,22.5,5.2,4.6,1.6,0.9,2.9,83,Jack Sikma,27,0.585365854,SEA,0,13,750,0.017,75,34.2,18.2,11.4,3.1,1.2,0.9,0.464,0,0.837,9.8,0.183
C,7.3,13.3,0,0,6.9,0.552,3.8,3.9,19.4,0.595,23,4.6,5.5,1.5,1.3,3.5,83,Jeff Ruland,24,0.512195122,WSB,0,12,750,0.016,79,36.2,19.4,11,3,0.9,1,0.552,0.333,0.689,10.1,0.169
PF,9.8,18.7,0,0,5.9,0.523,2.9,4.2,22.8,0.557,26,6.5,2.2,3.8,-0.8,3.2,83,Terry Cummings,21,0.304878049,SDC,0,10,750,0.013,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164
PF,6.4,13.6,0,0,4.6,0.474,2.9,3.6,16.1,0.528,22.5,2.4,4.7,-0.2,0,1.1,83,Maurice Lucas,30,0.646341463,PHO,0,9,750,0.012,77,33.6,16.5,10.4,2.8,0.7,0.6,0.474,0.333,0.781,7.1,0.132
PF,3.4,6.4,0,0,3,0.529,2.3,4.1,13.8,0.543,17.7,-0.2,3.9,-2.9,2.4,0.7,83,Alton Lister,24,0.62195122,MIL,0,5,750,0.007,80,23.6,8.4,7.1,1.4,0.6,2.2,0.529,0,0.537,3.8,0.096
SF,8.9,16.8,0,0.1,5.7,0.528,2.9,3.4,20.3,0.566,29.1,4,3.5,2.8,0.7,3.1,83,Bernard King,26,0.536585366,NYK,0,4,750,0.005,68,32.5,21.9,4.8,2.9,1.3,0.2,0.528,0,0.722,7.5,0.163
PG,9,19,0.4,1.5,6.4,0.483,4,3.9,18.9,0.525,26.1,4.5,3,1.9,0,3,83,Isiah Thomas,21,0.451219512,DET,0,4,750,0.005,81,38.2,22.9,4,7.8,2.5,0.4,0.472,0.288,0.71,7.4,0.115
PG,8,16.2,0,0.2,5,0.493,3.6,2.8,18.1,0.545,23.7,5.1,2.1,2.4,-0.8,2.4,83,Larry Drew,24,0.548780488,KCK,0,3,750,0.004,75,35.9,20.1,2.8,8.1,1.7,0.1,0.492,0.125,0.82,7.2,0.128
PG,8.3,17.3,0,0.5,4.6,0.478,2.9,1.5,20.5,0.517,25.8,5.2,3.3,3.6,0.6,4.3,83,Gus Williams,29,0.585365854,SEA,0,3,750,0.004,80,34.5,20,2.6,8,2.3,0.3,0.477,0.047,0.751,8.5,0.148
PF,7.3,15.5,0.1,0.4,5.8,0.472,3.2,3.1,18.8,0.526,24.2,2.9,4.5,1.3,0.5,2.6,83,Dan Roundfield,29,0.524390244,ATL,0,2,750,0.003,77,36.5,19,11.4,2.9,0.8,1.5,0.47,0.185,0.749,7.4,0.127
SF,9,17.8,0.1,0.3,4.5,0.511,2.5,2.6,21.1,0.543,25.7,6.6,4.1,4.2,0.4,4.7,83,Marques Johnson,26,0.62195122,MIL,0,1.5,750,0.002,80,35.7,21.4,7,4.5,1.3,0.7,0.509,0.2,0.735,10.7,0.18
PG,6.7,14.2,0,0.2,2.1,0.475,3,2.2,13.9,0.498,20.9,2.5,1.4,-0.2,-1.8,0,83,Norm Nixon,27,0.707317073,LAL,0,1,750,0.001,79,34.3,15.1,2.6,7.2,1.3,0.1,0.475,0,0.744,3.9,0.069
PF,10.3,18.7,0.2,0.6,6.8,0.552,2.2,2.4,21.8,0.613,24.9,10.5,0.6,4.4,-2.1,3.2,83,Kiki Vandeweghe,24,0.548780488,DEN,0,1,750,0.001,82,35.5,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,11,0.182
PF,9.6,19.5,0.2,0.9,5.3,0.497,3,2.5,24.2,0.552,26.7,7.9,5.6,5.6,2,7.3,84,Larry Bird,27,0.756097561,BOS,52,652,760,0.858,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215
SF,10.3,18.1,0,0.1,7.3,0.572,2.6,3.5,22.7,0.619,28.7,8.6,3.5,4.6,-0.2,4.3,84,Bernard King,27,0.573170732,NYK,11,373,760,0.491,77,34.6,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,0.218
PG,6.6,11.6,0.1,0.4,5.3,0.569,4.6,2.5,22.6,0.628,19.5,6.7,3.6,4.8,1.8,5.6,84,Magic Johnson,24,0.658536585,LAL,5,305,760,0.401,67,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191
C,9,15.5,0,0,4.9,0.578,2.8,2.6,21.3,0.608,25.1,5.9,3.1,2.8,0.2,3.3,84,Kareem Abdul-Jabbar,36,0.658536585,LAL,3,153,760,0.201,80,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,0.163
PG,8.2,17.7,0.3,0.8,6.5,0.47,3.7,4,20.9,0.52,25.4,5.7,3.4,4,0.7,5.1,84,Isiah Thomas,22,0.597560976,DET,1,115,760,0.151,82,36.7,21.3,4,11.1,2.5,0.4,0.462,0.338,0.733,9.1,0.144
SF,8.8,17.2,0.1,0.3,6.3,0.515,3,2.8,22.9,0.562,27.2,5.6,4.5,4.3,1.6,5.3,84,Julius Erving,33,0.634146341,PHI,1,98,760,0.129,77,34.8,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,0.18
SF,10.2,18.2,0,0.1,12,0.558,3.3,2.5,24.6,0.652,28.2,13,1.6,5.8,-1.5,4.7,84,Adrian Dantley,28,0.548780488,UTA,1,88,760,0.116,79,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235
SG,7.1,14.2,0.1,0.2,7.9,0.5,2.7,2.6,19.8,0.591,22.2,8.4,4.2,3.7,0.4,4.7,84,Sidney Moncrief,26,0.609756098,MIL,1,70,760,0.092,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198
C,8,13.8,0,0.1,8.5,0.579,4.6,3.8,19.6,0.633,23,5,4.3,1.9,0.7,3.6,84,Jeff Ruland,25,0.426829268,WSB,1,38,760,0.05,75,41.1,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,0.144
C,7.5,15.5,0,0.1,10.2,0.483,3.5,2.6,21.8,0.566,26.4,5,4.6,2,-1.2,1.8,84,Moses Malone,28,0.634146341,PHI,0,35,760,0.046,71,36.8,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,0.175
SF,11.7,22.3,0.2,0.7,7.9,0.528,3.6,3.1,23.5,0.572,33.4,7,2,5,-1.2,4.1,84,Mark Aguirre,24,0.524390244,DAL,0,28,760,0.037,79,36.7,29.5,5.9,4.5,1,0.3,0.524,0.268,0.749,9,0.149
C,6.7,12.7,0,0.1,4.5,0.53,1.8,3.3,19.2,0.59,18.2,7.3,3.5,2.5,-0.7,2.7,84,Bill Laimbeer,26,0.597560976,DET,0,9,760,0.012,82,34.9,17.3,12.2,1.8,0.6,1,0.53,0,0.866,10.8,0.181
PG,5.4,11.2,0,0.2,2.9,0.487,2.1,1.9,18,0.532,16.9,5,3,1.8,1.2,3.5,84,Rickey Green,29,0.548780488,UTA,0,8,760,0.011,81,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,7.9,0.138
SG,8.3,18.8,0.3,0.9,6.7,0.453,2.1,2.9,18.8,0.512,31.3,3.7,1.6,2.3,-0.9,2,84,World B. Free,30,0.341463415,CLE,0,1,760,0.001,75,31.7,22.3,2.9,3,1.3,0.1,0.445,0.319,0.784,5.3,0.107
SF,8.7,17.4,0,0.2,4.6,0.502,2.4,2.6,19.4,0.534,25.2,4.4,4.2,2.9,0.7,3.8,84,Marques Johnson,27,0.609756098,MIL,0,1,760,0.001,74,36.7,20.7,6.5,4.3,1.6,0.6,0.502,0.154,0.709,8.6,0.152
SF,11.5,22,0.7,1.6,5.7,0.538,3.1,2.6,26.5,0.585,28.5,10.5,5.2,6.8,2,8.7,85,Larry Bird,28,0.768292683,BOS,73,763,780,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238
PG,6.5,11.7,0.1,0.5,6,0.565,4,2,23.2,0.637,20.5,9.5,3.2,5.8,0.8,6.1,85,Magic Johnson,25,0.756097561,LAL,1,264,780,0.338,77,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22
C,7.6,16.3,0,0,11.4,0.469,3.6,2.7,22.5,0.577,26.8,7.9,4,3,-1.4,2.7,85,Moses Malone,29,0.707317073,PHI,0,218,780,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193
C,9.2,15.3,0,0,5,0.599,2.5,3,22.9,0.628,24.3,7.6,3.6,3.9,1.2,4.8,85,Kareem Abdul-Jabbar,37,0.756097561,LAL,0,206,780,0.264,79,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204
